facility_name,odhf_facility_type,latitude,longitude
Berkley Care Centre,Nursing and residential care facilities,49.312278,-123.006
Berman House,Nursing and residential care facilities,49.271922,-123.062
Berwick House,Nursing and residential care facilities,48.475333,-123.33305
Berwick On The Lake,Nursing and residential care facilities,49.21002,-124.00388
Berwick On The Park,Nursing and residential care facilities,50.6578036,-120.3369705
Berwick Royal Oak,Nursing and residential care facilities,48.5035189,-123.3868419
Bethayne House,Nursing and residential care facilities,49.108379,-122.740143
Bethesda Abbotsford Home,Nursing and residential care facilities,49.0363142,-122.3077081
Bethesda Chilcotin Home,Nursing and residential care facilities,49.0710888,-122.3183114
Bethesda Clearbrook Home,Nursing and residential care facilities,49.0477168,-122.3221005
Bethesda Langley Home,Nursing and residential care facilities,49.1727066,-122.6550127
Bethesda Matsqui Home,Nursing and residential care facilities,49.0416172,-122.3166859
Bethesda Richmond Home,Nursing and residential care facilities,49.1598783,-123.1400007
Bethesda South Richmond Home,Nursing and residential care facilities,49.1340288,-123.1915231
Bethesda Surrey Home,Nursing and residential care facilities,49.1989643,-122.770158
Bethesda West Abbotsford Home,Nursing and residential care facilities,49.199194,-122.770159
Bethesda West Clearbrook Home,Nursing and residential care facilities,49.0446238,-122.339746
Bethesda West Richmond,Nursing and residential care facilities,49.1399135,-123.1809197
Bevan Village,Nursing and residential care facilities,49.0413325,-122.2992395
Beverly Medical Clinic,Ambulatory health care services,48.785745,-123.708003
Beyond Health And Medical Centre,Ambulatory health care services,49.11913,-122.6903
Birch Lodge,Nursing and residential care facilities,50.2203239,-119.1493654
Birch Station,Nursing and residential care facilities,49.1553185,-123.1682267
Birchview Residences,Nursing and residential care facilities,53.999924,-122.8011
Birchwood House,Nursing and residential care facilities,49.250434,-123.151
Birchwood Place,Nursing and residential care facilities,54.51652,-128.54583
Bissette,Nursing and residential care facilities,50.7616555,-120.3440301
Blenheim Lodge,Nursing and residential care facilities,49.2572761,-123.1791189
Blenkinsop Home,Nursing and residential care facilities,48.4659403,-123.3503798
Blueridge House,Nursing and residential care facilities,49.3249901,-123.000264
Borland Medi-clinic,Ambulatory health care services,52.130092,-122.139779
Boundary District Hospital,Hospitals,49.030363,-118.467838
Boundary Hospital,Hospitals,49.0295499,-118.468238
Boundary Park Medical Centre,Ambulatory health care services,49.118235,-122.890172
Bowness Residence,Nursing and residential care facilities,49.8490901,-124.5073861
Bradner House,Nursing and residential care facilities,49.0586,-122.425236
Braemore Lodge,Nursing and residential care facilities,49.4712603,-119.5812088
Brandt's Creek Mews,Nursing and residential care facilities,49.9200841,-119.4354247
Brentwood House,Nursing and residential care facilities,48.5794252,-123.4509233
Brentwood Medical Clinic,Ambulatory health care services,49.26859,-123.0008
Brickyard Medical Clinic,Ambulatory health care services,49.10453,-122.7394
Bridge House,Nursing and residential care facilities,49.253717,-123.075
Bridgit House,Nursing and residential care facilities,49.3290462,-123.0766187
Britannia Lodge,Nursing and residential care facilities,49.2751821,-123.0652695
British Columbia Children's Hospital,Hospitals,49.244268,-123.125479
Broadway House,Nursing and residential care facilities,49.2421167,-123.0656713
Broadway Pentecostal Lodge,Nursing and residential care facilities,49.2674372,-123.1343725
Broadway Station Medical Clinic,Ambulatory health care services,49.26194,-123.069626
Brock Home,Nursing and residential care facilities,48.454613,-123.51876
Brocklehurst Gemstone Care Centre,Nursing and residential care facilities,50.6997303,-120.3999925
Brookside Lodge,Nursing and residential care facilities,49.114097,-122.681031
Brookswood Court,Nursing and residential care facilities,49.0716323,-122.6690447
Brookvale Care Centre Ltd,Nursing and residential care facilities,49.8814543,-119.4932628
Bruce House,Nursing and residential care facilities,49.4780038,-119.5894259
Brydon House,Nursing and residential care facilities,49.1035697,-122.6782902
Buckingham House,Nursing and residential care facilities,49.2268549,-122.9509928
Buena Vista Lodge Ltd,Nursing and residential care facilities,49.0242352,-122.803626
Bulkley Lodge,Nursing and residential care facilities,54.779299,-127.15819
Bulkley Valley District Hospital,Hospitals,54.785021,-127.163422
Burde Street Residence,Nursing and residential care facilities,49.241643,-124.77894
Burden Residential Home,Nursing and residential care facilities,53.908657,-122.77614
Burnaby Hospital,Hospitals,49.2494788,-123.0157868
Burnside Family Medical Clinic,Ambulatory health care services,48.45081,-123.387382
Burnside Home,Nursing and residential care facilities,48.460042,-123.39956
Byron House,Nursing and residential care facilities,49.256752,-123.093
C & E Home,Nursing and residential care facilities,49.332392,-123.085
Cabeldu,Nursing and residential care facilities,49.1204814,-122.9062557
Caledonian Clinic,Ambulatory health care services,49.234503,-124.026347
Camille House,Nursing and residential care facilities,49.2577746,-123.1054368
Campbell,Nursing and residential care facilities,53.900246,-122.80605
Campbell Home,Nursing and residential care facilities,49.2254665,-122.6634862
Campbell House,Nursing and residential care facilities,49.2241206,-122.629491
Campbell River And District General Hospital,Hospitals,50.01105,-125.242311
Campbell River And District Regional Hospital,Hospitals,50.009834,-125.242771
Campbell Street Group Home,Nursing and residential care facilities,48.783462,-123.70701
Camsell House,Nursing and residential care facilities,49.1698215,-123.1558957
Canalta Residence,Nursing and residential care facilities,55.750662,-120.25726
Canway Medical Centre,Ambulatory health care services,49.254122,-122.98946
Capilano Care Centre,Nursing and residential care facilities,49.329066,-123.13
Capilano House,Nursing and residential care facilities,49.3511,-123.107354
Capilano Road,Nursing and residential care facilities,49.3532103,-123.1074121
Caramillo Heights,Nursing and residential care facilities,49.9086172,-119.4621133
Care Point Medical And Wellness Clinics,Ambulatory health care services,49.270184,-123.069821
Carefiniti Health Corporation,Ambulatory health care services,49.323719,-123.109974
Caremart Medical,Ambulatory health care services,49.2809,-122.7989
Careplace Medical Centre,Ambulatory health care services,49.16775,-122.7998
Carey House,Nursing and residential care facilities,48.4825802,-123.4007389
Cariboo Memorial Hospital,Hospitals,52.137421,-122.143656
Cariboo Memorial Hospital And Health Centre,Hospitals,52.13747,-122.143729
Cariboo Place,Nursing and residential care facilities,52.1311279,-122.141753
Carlton Gardens Care Centre,Nursing and residential care facilities,49.2550436,-123.0128497
Carnation House,Nursing and residential care facilities,49.3183187,-123.0045886
Carolina House,Nursing and residential care facilities,49.2488302,-123.0917117
Carson House,Nursing and residential care facilities,49.2096828,-122.9894056
Cartier House Care Centre,Nursing and residential care facilities,49.241712,-122.8528962
Cartref,Nursing and residential care facilities,48.47379,-123.35158
Caspers Way Home,Nursing and residential care facilities,49.177513,-123.98626
Castlegar House,Nursing and residential care facilities,49.2682638,-117.6459263
Castleview Care Centre,Nursing and residential care facilities,49.2881065,-117.6624447
Catherine House,Nursing and residential care facilities,49.2701637,-122.8758933
Caulfield Village Medical Clinic,Ambulatory health care services,49.35045,-123.2545
Cdscl 25th Avenue,Nursing and residential care facilities,49.0886024,-116.4952898
Cdscl Orchard House,Nursing and residential care facilities,49.0881948,-116.5151824
Cdscl Purcell Place,Nursing and residential care facilities,49.089596,-116.504221
Cedar Care Clinic,Ambulatory health care services,49.133045,-122.327389
Cedars At Cobble Hill,Nursing and residential care facilities,48.698088,-123.6009
Cedarvale (east),Nursing and residential care facilities,49.2169929,-122.5669671
Cedarview Lodge,Nursing and residential care facilities,49.326053,-123.04
Celebration & Rainbow Manor,Nursing and residential care facilities,49.186507,-122.77991
Central City Lodge,Nursing and residential care facilities,49.2831332,-123.1119351
Central Okanagan Hospice House,Nursing and residential care facilities,49.8775979,-119.4818967
Central Saanich House,Nursing and residential care facilities,48.563341,-123.40322
Central Saanich Medical Clinic,Ambulatory health care services,48.594726,-123.418858
Cerwydden Care Centre,Nursing and residential care facilities,48.790277,-123.73317
Chadsey House,Nursing and residential care facilities,49.1367191,-121.9733436
Champlain House,Nursing and residential care facilities,49.222657,-123.048
Chapman House,Nursing and residential care facilities,49.440467,-123.718
Charles Street Group Home,Nursing and residential care facilities,49.2735362,-123.0314326
Charlford House,Nursing and residential care facilities,49.2718494,-122.9623947
Chartwell Malaspina Care Residence,Nursing and residential care facilities,49.129687,-123.92464
Chelsey House 2003 Ltd,Nursing and residential care facilities,49.0849489,-122.6241638
Chemainus Health Care Centre,Hospitals,48.927226,-123.715913
Cherington Place,Nursing and residential care facilities,49.205653,-122.849334
Chester House,Nursing and residential care facilities,49.2366929,-123.0889024
Chestnut House,Nursing and residential care facilities,49.0860239,-123.0685534
Chetwynd General Hospital And Health Centre,Hospitals,55.696217,-121.644705
Chetwynd Hospital And Health Centre,Hospitals,55.695633,-121.645304
Chetwynd Primary Care Clinic,Ambulatory health care services,55.69561,-121.6306
Children's And Women's Health Centre Of British Columbia,Hospitals,49.246128,-123.127523
Chilliwack General Hospital,Hospitals,49.1669926,-121.963068
Chilliwack Lifestyles Willow Manor,Nursing and residential care facilities,49.128984,-121.959427
Chopra Addiction & Wellness Center,Nursing and residential care facilities,49.831259,-123.151
Christel House,Nursing and residential care facilities,49.152412,-122.897278
Christenson Village,Nursing and residential care facilities,49.4045,-123.519
City View,Nursing and residential care facilities,55.767859,-120.2317
Civic Family Health Centre,Ambulatory health care services,49.162652,-122.846488
Classic Homestead - South,Nursing and residential care facilities,49.06356,-122.680175
Clayton Heights Medical Clinic,Ambulatory health care services,49.12821,-122.7067
Clayton House,Nursing and residential care facilities,48.680171,-123.46226
Clover Care Medical Clinic,Ambulatory health care services,49.10265,-122.7301
Clover Point Care,Nursing and residential care facilities,48.4096733,-123.3542325
Cloverhill Medical Clinic,Ambulatory health care services,49.118604,-122.711505
Cloverley House,Nursing and residential care facilities,49.3130596,-123.0461745
Coach House Square Medical Clinic,Ambulatory health care services,51.64667,-121.2951
Coal Harbour Health Centre,Ambulatory health care services,49.288023,-123.123848
Coast Magnolia House,Nursing and residential care facilities,49.2539535,-123.0886298
Coast Medical,Ambulatory health care services,50.12038,-122.956058
Coast West,Nursing and residential care facilities,49.269211,-123.181
Cochrane House,Nursing and residential care facilities,49.2521843,-122.8878045
Colebrook- Medical Clinic,Ambulatory health care services,49.103543,-122.799043
Coleman Street Group Home,Nursing and residential care facilities,49.3504116,-123.0254987
Collingwood House,Nursing and residential care facilities,49.2393253,-123.026247
Columbia Garden Care Village,Nursing and residential care facilities,50.5076471,-116.0331677
Columbia House,Nursing and residential care facilities,49.2258399,-122.8939774
Columbia View Lodge,Nursing and residential care facilities,49.09953,-117.6793694
Columbus Residence,Nursing and residential care facilities,49.208775,-123.121
Colwood Medical Treatment Centre,Ambulatory health care services,48.441188,-123.470525
Colwyn House,Nursing and residential care facilities,50.016425,-125.2430295
Commercial Drive Medical Clinic,Ambulatory health care services,49.271111,-123.069667
Community Connections Eighth Street Home,Nursing and residential care facilities,50.9881555,-118.1896244
Community Connections Second Street Home,Nursing and residential care facilities,51.0028574,-118.2035386
Community Living Society - Neville House,Nursing and residential care facilities,49.2136422,-122.9808733
Como Lake House,Nursing and residential care facilities,49.2637783,-122.8514678
